DATE,FPCPITOTLZGJPN
1960-01-01,3.57451152535917
1961-01-01,5.36846178480054
1962-01-01,6.8354403481973
1963-01-01,6.70690556397994
1964-01-01,3.80038945305748
1965-01-01,6.65599094260623
1966-01-01,5.04083205887675
1967-01-01,3.98984808881514
1968-01-01,5.33943295739348
1969-01-01,5.24982091102023
1970-01-01,6.9241738348578
1971-01-01,6.39534883720932
1972-01-01,4.8435171385991
1973-01-01,11.608623548922
1974-01-01,23.2222458076842
1975-01-01,11.7312661498708
1976-01-01,9.37403638606229
1977-01-01,8.16182689596844
1978-01-01,4.20956601068683
1979-01-01,3.7018509254627
1980-01-01,7.77858176555715
1981-01-01,4.91216291820523
1982-01-01,2.74104095563142
1983-01-01,1.89971971348489
1984-01-01,2.26161369193154
1985-01-01,2.03227734608488
1986-01-01,0.595586799453213
1987-01-01,0.126176841696618
1988-01-01,0.678557580457501
1989-01-01,2.2722896206432
1990-01-01,3.07851628695162
1991-01-01,3.2514384875331
1992-01-01,1.76028306059265
1993-01-01,1.24304589707929
1994-01-01,0.695458057868973
1995-01-01,-0.127899045020464
1996-01-01,0.136600358575938
1997-01-01,1.74780458692133
1998-01-01,0.661974191385916
1999-01-01,-0.34129692832762
2000-01-01,-0.676578683595063
2001-01-01,-0.740055504162808
2002-01-01,-0.923494026942291
2003-01-01,-0.256541816316074
2004-01-01,-0.00857338820299998
2005-01-01,-0.282946068764487
2006-01-01,0.249355116079096
2007-01-01,0.0600394544986868
2008-01-01,1.38007886164923
2009-01-01,-1.35283672951722
2010-01-01,-0.719979429159149
2011-01-01,-0.267633600966946
2012-01-01,-0.0519390581717368
2013-01-01,0.346440325653898
2014-01-01,2.76195408251338
2015-01-01,0.789517890139427
2016-01-01,-0.116666666666671
2017-01-01,0.467211747038214
2018-01-01,0.979903670486641
