DATE,Inflation,Exports,GDP
1970,5.83825533848253,187598.0433,1073.3105
1971,4.29276668813045,190849.3432,1164.84975
1972,3.27227824655283,205725.2304,1279.112
1973,6.1777600637704095,244440.2495,1425.376
1974,11.054804804804801,263855.6346,1545.2425
1975,9.14314686496534,262166.0415,1684.905
1976,5.744812635490849,273613.2682,1873.4125
1977,6.50168399472839,280189.6127,2081.825
1978,7.63096383885602,309764.9599,2351.59875
1979,11.2544711292795,340439.9428,2627.3262499999996
1980,13.5492019749684,377096.6455,2857.3085
1981,10.3347153402771,381692.1521,3207.0412499999998
1982,6.1314270002749405,352466.8587,3343.78925
1983,3.21243523316063,343333.7211,3634.0365
1984,4.30053547523427,371324.9581,4037.614
1985,3.54564415209369,383767.2711,4338.9805
1986,1.89804772234275,413172.7256,4579.6325
1987,3.6645632175169105,458326.86799999996,4855.2162499999995
1988,4.07774110744408,532632.5592,5236.438
1989,4.82700303008949,594294.3064,5641.579500000001
1990,5.39795643990322,646722.1006,5963.144499999999
1991,4.2349639645385295,689497.7440000001,6158.12925
1992,3.0288196781497003,737261.8878,6520.327249999999
1993,2.95165696638554,761410.0006,6858.558499999999
1994,2.6074415921546,828687.5445,7287.2365
1995,2.8054196885365497,913869.1746,7639.74925
1996,2.9312041999344,988583.7287,8073.121749999999
1997,2.33768993730741,1106323.1645,8577.5525
1998,1.5522790987436201,1132164.6043,9062.81675
1999,2.18802719697358,1188562.4755,9630.6625
2000,3.37685727149935,1287738.7906,10252.3465
2001,2.8261711188540204,1213252.9384,10581.82225
2002,1.58603162650603,1192179.6983,10936.418249999999
2003,2.2700949733611298,1218199.4322,11458.245750000002
2004,2.67723669309173,1335978.0741,12213.730249999999
2005,3.3927468454954703,1431204.8486,13036.637
2006,3.2259441007040697,1564919.8074,13814.609
2007,2.8526724815013598,1701096.3446,14451.859
2008,3.8391002966510097,1797347.1432,14712.845
2009,-0.35554626629975,1646431.9399,14448.9325
2010,1.64004344238989,1846280.0,14992.052
2011,3.1568415686220597,1978083.1982,15542.58175
2012,2.06933726526059,2045509.1649,16197.00725
2013,1.4648326556271398,2118638.6753,16784.8505
2014,1.62222297740821,2207928.537,17527.25825
2015,0.118627135552435,2218374.143,18224.78025
2016,1.2615832057053702,2218069.8296,18715.0405
2017,2.1301100036596297,2295205.8226,19519.4235
2018,2.44258329692818,2364439.0006,20580.223
